DATE,Exchange rate
1993-01-01,2.765
1993-02-01,2.795
1993-03-01,2.768
1993-04-01,2.728
1993-05-01,2.729
1993-06-01,2.805
1993-07-01,2.872
1993-08-01,2.873
1993-09-01,2.864
1993-10-01,2.923
1993-11-01,2.971
1993-12-01,2.986
1994-01-01,2.987
1994-02-01,2.975
1994-03-01,2.969
1994-04-01,3
1994-05-01,3.037
1994-06-01,3.033
1994-07-01,3.057
1994-08-01,3.032
1994-09-01,3.013
1994-10-01,3.009
1994-11-01,3.031
1994-12-01,3.018
1995-01-01,2.998
1995-02-01,2.988
1995-03-01,2.968
1995-04-01,2.961
1995-05-01,3.005
1995-06-01,2.951
1995-07-01,2.989
1995-08-01,3.042
1995-09-01,2.995
1995-10-01,3.029
1995-11-01,3.072
1995-12-01,3.135
1996-01-01,3.14
1996-02-01,3.101
1996-03-01,3.111
1996-04-01,3.191
1996-05-01,3.2528
1996-06-01,3.203
1996-07-01,3.153
1996-08-01,3.142
1996-09-01,3.22
1996-10-01,3.273
1996-11-01,3.253
1996-12-01,3.251
1997-01-01,3.314
1997-02-01,3.348
1997-03-01,3.361
1997-04-01,3.407
1997-05-01,3.394
1997-06-01,3.587
1997-07-01,3.54
1997-08-01,3.514
1997-09-01,3.497
1997-10-01,3.542
1997-11-01,3.54
1997-12-01,3.536
1998-01-01,3.611
1998-02-01,3.582
1998-03-01,3.592
1998-04-01,3.707
1998-05-01,3.656
1998-06-01,3.667
1998-07-01,3.65
1998-08-01,3.801
1998-09-01,3.845
1998-10-01,4.25
1998-11-01,4.191
1998-12-01,4.161
1999-01-01,4.103
1999-02-01,4.047
1999-03-01,4.034
1999-04-01,4.155
1999-05-01,4.121
1999-06-01,4.076
1999-07-01,4.159
1999-08-01,4.241
1999-09-01,4.276
1999-10-01,4.251
1999-11-01,4.227
1999-12-01,4.153
2000-01-01,4.082
2000-02-01,4.032
2000-03-01,4.026
2000-04-01,4.035
2000-05-01,4.168
2000-06-01,4.084
2000-07-01,4.085
2000-08-01,4.004
2000-09-01,4.024
2000-10-01,4.137
2000-11-01,4.093
2000-12-01,4.041
2001-01-01,4.137
2001-02-01,4.112
2001-03-01,4.192
2001-04-01,4.139
2001-05-01,4.133
2001-06-01,4.165
2001-07-01,4.209
2001-08-01,4.262
2001-09-01,4.355
2001-10-01,4.281
2001-11-01,4.233
2001-12-01,4.416
2002-01-01,4.602
2002-02-01,4.623
2002-03-01,4.668
2002-04-01,4.893
2002-05-01,4.916
2002-06-01,4.769
2002-07-01,4.689
2002-08-01,4.66
2002-09-01,4.871
2002-10-01,4.765
2002-11-01,4.643
2002-12-01,4.737
2003-01-01,4.814
2003-02-01,4.81
2003-03-01,4.687
2003-04-01,4.521
2003-05-01,4.373
2003-06-01,4.312
2003-07-01,4.429
2003-08-01,4.443
2003-09-01,4.441
2003-10-01,4.492
2003-11-01,4.448
2003-12-01,4.379
2004-01-01,4.483
2004-02-01,4.485
2004-03-01,4.528
2004-04-01,4.588
2004-05-01,4.555
2004-06-01,4.497
2004-07-01,4.516
2004-08-01,4.526
2004-09-01,4.482
2004-10-01,4.468
2004-11-01,4.363
2004-12-01,4.308
2005-01-01,4.383
2005-02-01,4.357
2005-03-01,4.361
2005-04-01,4.369
2005-05-01,4.416
2005-06-01,4.574
2005-07-01,4.526
2005-08-01,4.545
2005-09-01,4.598
2005-10-01,4.636
2005-11-01,4.663
2005-12-01,4.603
2006-01-01,4.658
2006-02-01,4.706
2006-03-01,4.665
2006-04-01,4.503
2006-05-01,4.518
2006-06-01,4.44
2006-07-01,4.393
2006-08-01,4.364
2006-09-01,4.297
2006-10-01,4.288
2006-11-01,4.247
2006-12-01,4.225
2007-01-01,4.26
2007-02-01,4.211
2007-03-01,4.155
2007-04-01,4.024
2007-05-01,4.033
2007-06-01,4.249
2007-07-01,4.305
2007-08-01,4.124
2007-09-01,4.013
2007-10-01,3.966
2007-11-01,3.83
2007-12-01,3.846
2008-01-01,3.625
2008-02-01,3.635
2008-03-01,3.553
2008-04-01,3.429
2008-05-01,3.233
2008-06-01,3.352
2008-07-01,3.47
2008-08-01,3.592
2008-09-01,3.421
2008-10-01,3.783
2008-11-01,3.92
2008-12-01,3.802
2009-01-01,4.065
2009-02-01,4.162
2009-03-01,4.188
2009-04-01,4.163
2009-05-01,3.958
2009-06-01,3.919
2009-07-01,3.79
2009-08-01,3.811
2009-09-01,3.758
2009-10-01,3.746
2009-11-01,3.792
2009-12-01,3.775
2010-01-01,3.724
2010-02-01,3.796
2010-03-01,3.713
2010-04-01,3.716
2010-05-01,3.829
2010-06-01,3.875
2010-07-01,3.779
2010-08-01,3.817
2010-09-01,3.665
2010-10-01,3.636
2010-11-01,3.683
2010-12-01,3.549
2011-01-01,3.71
2011-02-01,3.622
2011-03-01,3.481
2011-04-01,3.395
2011-05-01,3.437
2011-06-01,3.415
2011-07-01,3.43
2011-08-01,3.558
2011-09-01,3.712
2011-10-01,3.604
2011-11-01,3.793
2011-12-01,3.821
2012-01-01,3.733
2012-02-01,3.766
2012-03-01,3.715
2012-04-01,3.75
2012-05-01,3.881
2012-06-01,3.923
2012-07-01,3.997
2012-08-01,4.028
2012-09-01,3.912
2012-10-01,3.878
2012-11-01,3.81
2012-12-01,3.733
2013-01-01,3.728
2013-02-01,3.708
2013-03-01,3.648
2013-04-01,3.594
2013-05-01,3.683
2013-06-01,3.618
2013-07-01,3.566
2013-08-01,3.614
2013-09-01,3.537
2013-10-01,3.529
2013-11-01,3.523
2013-12-01,3.471
2014-01-01,3.498
2014-02-01,3.496
2014-03-01,3.487
2014-04-01,3.466
2014-05-01,3.475
2014-06-01,3.438
2014-07-01,3.429
2014-08-01,3.568
2014-09-01,3.695
2014-10-01,3.784
2014-11-01,3.889
2014-12-01,3.889
2015-01-01,3.924
2015-02-01,3.966
2015-03-01,3.98
2015-04-01,3.861
2015-05-01,3.876
2015-06-01,3.769
2015-07-01,3.783
2015-08-01,3.93
2015-09-01,3.923
2015-10-01,3.867
2015-11-01,3.877
2015-12-01,3.902
2016-01-01,3.951
2016-02-01,3.91
2016-03-01,3.766
2016-04-01,3.761
2016-05-01,3.85
2016-06-01,3.846
2016-07-01,3.828
2016-08-01,3.786
2016-09-01,3.758
2016-10-01,3.849
2016-11-01,3.839
2016-12-01,3.845
2017-01-01,3.769
2017-02-01,3.659
2017-03-01,3.632
2017-04-01,3.619
2017-05-01,3.561
2017-06-01,3.496
2017-07-01,3.558
2017-08-01,3.596
2017-09-01,3.529
2017-10-01,3.521
2017-11-01,3.499
2017-12-01,3.467
2018-01-01,3.405
2018-02-01,3.485
2018-03-01,3.514
2018-04-01,3.588
2018-05-01,3.588
2018-06-01,3.65
2018-07-01,3.664
2018-08-01,3.604
2018-09-01,3.627
2018-10-01,3.721
2018-11-01,3.701
2018-12-01,3.748
2019-01-01,3.642
2019-02-01,3.604
